Id,Type,Name,email,age,Income,Spend,Savings,Debt,Education,Credit Rating,IS employed,Is Employable ,HasCriminalBackground,Unemployed For
10001,GOVT,SomeName1,shh1@shh.com,87,73995746,24,45,-2,High School,6,T,T,T,24
10002,SELF,SomeName2,shh1@shh.com,80,490058719,35,53,-37,Undergrad,4,F,F,F,42
10003,CORP,SomeName3,shh1@shh.com,94,279304476,71,39,41,Graduate,0,T,T,T,58
10004,UNK,SomeName4,shh1@shh.com,65,683079157,61,49,18,Masters,0,F,F,F,55
10005,GOVT,SomeName5,shh1@shh.com,55,21083249,32,51,56,PhD,5,T,T,T,36
10006,SELF,SomeName6,shh1@shh.com,85,276931008,17,32,23,High School,1,F,F,F,27
10007,CORP,SomeName7,shh1@shh.com,88,168074352,68,49,55,Undergrad,10,T,T,T,33
10008,UNK,SomeName8,shh1@shh.com,68,938912414,45,35,-50,Graduate,3,F,F,F,23
10009,GOVT,SomeName9,shh1@shh.com,41,548032525,69,44,28,Masters,1,T,T,T,44
10010,SELF,SomeName10,shh1@shh.com,44,710925367,22,44,1,PhD,0,F,F,F,11
10011,CORP,SomeName11,shh1@shh.com,79,58685771,21,30,40,High School,7,T,T,T,33
10012,UNK,SomeName12,shh1@shh.com,97,900479547,19,57,-7,Undergrad,10,F,F,F,36
10013,GOVT,SomeName13,shh1@shh.com,91,757301449,48,31,-10,Graduate,2,T,T,T,36
10014,SELF,SomeName14,shh1@shh.com,86,976130130,31,37,2,Masters,1,F,F,F,20
10015,CORP,SomeName15,shh1@shh.com,76,63290379,20,58,-41,PhD,5,T,T,T,28
10016,UNK,SomeName16,shh1@shh.com,57,256222721,31,31,4,High School,1,F,F,F,22
10017,GOVT,SomeName17,shh1@shh.com,107,305628326,49,46,53,Undergrad,3,T,T,T,57
10018,SELF,SomeName18,shh1@shh.com,10,339310616,56,43,-6,Graduate,10,F,F,F,34
10019,CORP,SomeName19,shh1@shh.com,72,940428485,77,59,-18,Masters,5,T,T,T,5
10020,UNK,SomeName20,shh1@shh.com,40,82799565,51,39,35,PhD,6,F,F,F,48
10021,GOVT,SomeName21,shh1@shh.com,74,604945185,18,36,45,High School,1,T,T,T,2
10022,SELF,SomeName22,shh1@shh.com,32,983674904,40,47,53,Undergrad,4,F,F,F,33
10023,CORP,SomeName23,shh1@shh.com,26,443967415,41,39,-41,Graduate,0,T,T,T,60
10024,UNK,SomeName24,shh1@shh.com,81,568112639,60,36,-49,Masters,1,F,F,F,31
